Date,Open,High,Low,Close,Adj Close,Volume
43262,119,119.150002,117.510002,118.290001,117.604622,4626600
43263,117.050003,117.25,114.830002,115.25,114.58223,6723400
43264,113.379997,114.18,111.279999,111.449997,110.804245,10868500
43265,111.470001,113.300003,110.230003,113.010002,112.355217,9244900
43266,115.75,117.620003,112.510002,113.160004,112.504341,11933700
43269,112.300003,112.349998,110.239998,111.449997,110.804245,6443500
43270,108.470001,109.959999,108.099998,108.989998,108.358498,6860600
43271,108.800003,114.989998,108.800003,112.919998,112.265732,7062400
43272,113.18,113.989998,112.25,112.839996,112.186188,3304600
43273,113.349998,115.110001,112.139999,115.07,114.403275,7211100
43276,113.199997,113.260002,108.870003,110.139999,109.501839,5144400
43277,110.690002,111.269997,108.300003,109.779999,109.143929,4405100
43278,111,112,108.599998,109.360001,108.726364,4133800
43279,109.760002,110.5,109,110.25,109.611198,3259300
43280,110.5,110.989998,109.190002,109.269997,108.636879,4574300
43283,108.599998,108.959999,106.699997,108.800003,108.169601,3916300
43284,108.949997,108.949997,106.25,106.870003,106.250786,2212500
43286,107,107.650002,105.580002,106.68,106.06189,3712600
43287,106.870003,107.860001,106.25,107.470001,106.847305,2870500
43290,107.989998,108,106,107.370003,106.747887,2822600
43291,107.5,111.489998,106.809998,110.360001,109.720566,4193600
43292,105.5,109.099998,105.209999,107.599998,106.976555,5709200
43293,108.809998,108.809998,105.5,108.389999,107.761978,4158200
43294,108.199997,109.800003,106.599998,107.519997,106.897018,4265800
43297,107,107,103.650002,104.050003,103.447128,5967300
43298,103.5,104.900002,100.989998,103.669998,103.069328,9014600
43299,103.709999,108.019997,103.529999,106.489998,105.872986,4799100
43300,103.150002,104.010002,102.110001,103.540001,102.940079,7100500
43301,103,106,102,103.349998,102.751183,9270500
43304,102.080002,105.980003,99.800003,105.089996,104.481094,12777400
43305,105.190002,105.949997,100.209999,100.660004,100.076767,9091000
43306,97.959999,100.910004,94.910004,98.370003,97.800041,19769600
43307,91.839996,94.080002,90.25,92.809998,92.272247,49298100
43308,94,96.57,93.669998,94.970001,94.419731,21620400
43311,95.160004,95.75,94.230003,94.830002,94.280548,14652900
43312,95.5,95.989998,94.779999,95.339996,94.78759,11682100
43313,96,96.080002,95.150002,95.400002,94.847244,8527300
43314,95,95.730003,94.620003,95.599998,95.046082,7547900
43315,95.68,96.089996,94.830002,95.919998,95.364227,7016100
43318,95.970001,96.529999,95.400002,96.290001,95.732086,6821400
43319,96.57,96.57,95.82,95.970001,95.413948,4264900
43320,96.089996,96.150002,95.360001,95.800003,95.244926,4124500
43321,95.360001,95.760002,94.970001,95.68,95.125618,4796700
43322,93.959999,94.699997,93.699997,94.559998,94.012108,9381000
43325,94.690002,94.690002,92.379997,93.160004,92.620224,8900200
43326,93.089996,93.239998,90.300003,91.190002,90.661644,10669900
43327,89.709999,89.949997,86.669998,89.760002,89.239929,15241200
43328,90.059998,90.25,89.260002,89.639999,89.120621,4169200
43329,89.370003,90.169998,88.599998,89.769997,89.249863,5833000
43332,89.93,90.730003,88.400002,90.129997,89.607773,6460100
43333,90.540001,92.540001,90.07,91.959999,91.427177,7318100
43334,91.349998,91.900002,90.550003,91.220001,90.69146,5669500
43335,91.769997,91.769997,90.099998,90.68,90.154594,5518900
43336,90.82,92.269997,90.690002,91.980003,91.447067,7316300
43339,92.32,92.580002,91.699997,92.309998,91.775146,5964000
43340,92.639999,93.459999,92.419998,93.190002,92.650055,7418500
43341,93.199997,94.110001,92.690002,93.82,93.276398,5507700
43342,93.199997,93.480003,91.779999,92.190002,91.655846,5222500
43343,92.080002,93.339996,92,93.139999,92.600334,4057600
43347,93.300003,94.900002,93.150002,94.660004,94.111534,7915400
43348,94.599998,94.709999,92.919998,93.879997,93.336044,7533500
43349,93.879997,94.389999,93.290001,93.989998,93.445412,9140900
43350,94.5,95.059998,93.160004,94.019997,93.475235,10214100
43353,94.099998,95.139999,93.559998,93.68,93.137207,8539900
43354,93,93,88.260002,89.57,89.051025,15011100
